Count	Name	Area	Author	Closed	Color	Comments	Drawing Revision Number	EdgeStyleId	FaceStyleId	File Accessed	File Created	File Last Saved By	File Location	File Modified	File Name	File Size	Global Width	Hyperlink	Hyperlink Base	Keywords	Layer	Length	Linetype	Linetype Scale	Lineweight	Material	Plot Style	Subject	Thickness	Title	Total Editing Time	VisualStyleId	Height	Obliquing	Position X	Position Y	Position Z	Rotation	Style	Value	Width Factor	Angle	Associative	BackgroundColor	Double	Origin X	Origin Y	Pattern Name	Scale	Spacing	Type	Center X	Center Y	Center Z	Circumference	Diameter	Radius	Angle1	Delta X	Delta Y	Delta Z	End X	End Y	End Z	Start X	Start Y	Start Z	Dim Style	DynamicDimension	TextDefinedSize	Constant	Invisible	Lock Position	Preset	Prompt	Tag	Verify
1	Hatch	0.00000			ByBlock			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByBlock	1.00000	ByBlock		ByBlock				3873447	(0)										180.00000	False		False	2724276.71123	-475895.59478	SOLID	100.00000	100.00000	PreDefined																										
1	Hatch	19713.13729			ByBlock			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByBlock	1.00000	ByBlock		ByBlock				3873447	(0)										180.00000	False		False	2756325.16585	-460895.59478	SOLID	100.00000	100.00000	PreDefined																										
1	Polyline	0.00000		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	41600.00001	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1562.04994	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										320.19443	1199.51996	-1000.57576	0.00000	2736339.21125	-526431.00824	0.00000	2735139.21125	-525431.00824	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1562.04994	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										219.80557	-1200.47976	-999.42401	0.00000	2735139.21125	-526431.00824	0.00000	2736339.21125	-525431.00824	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										324.68879	1199.59195	-850.57578	0.00000	2736339.21125	-527431.00824	0.00000	2735139.21125	-526581.00824	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1562.04994	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										230.19443	-1000.57576	-1199.51996	0.00000	2764180.30503	-527385.53560	0.00000	2765180.30503	-526185.53560	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										305.31121	849.42402	-1200.40777	0.00000	2766180.30503	-527385.53560	0.00000	2765330.30503	-526185.53560	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										54.68879	850.57578	1199.59195	0.00000	2766180.30503	-526185.53560	0.00000	2765330.30503	-527385.53560	0.00000										
1	Polyline	0.00000		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	77950.00000	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
